title,fileName,extension,text
#project,Jenks,,Jenks Residence
#photos,,,Framing and Finishing on Site
 Mar 2008,20080309_1,jpg,Main prow from below
,20080309_2,jpg,Entry garage side from above
,20080309_3,jpg,Living room
,20080309_4,jpg,Living room fireplace
,20080309_5,jpg,Evening view
 March 2007,20070327_10,jpg,Closeup of prow ridge with windows installed
,20070327_11,jpg,Closeup of prow ridge with windows installed
,20070327_12,jpg,Deck completed with railing installed
,20070327_13,jpg,Garage door installed
,20070327_14,jpg,"Uphill (entry) side view, house sheathed in"
 Feb 2007,200702_2993,jpg,Entry gate
,200702_3002,jpg,Scenery near the site
,200702_3011,jpg,View from the site
,200702_3015,jpg,View from the site
,200702_3019,jpg,View of entry side of the house
,200702_3035,jpg,Scenery along the driveway
 Oct. 31,20061031_40,jpg,Custom wood entry doors
 Sept 28,20060928_82,jpg,View of the house from the distance
,20060928_69,jpg,Kitchen / Nook area with Garage below
,20060928_70,jpg,Entry portico
,20060928_73,jpg,Ridge beam
,20060928_74,jpg,View from upper floor
,20060928_75,jpg,View from upper floor
,20060928_76,jpg,Center bay of prow in Great Room
,20060928_72,jpg,View from the site
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Aug 23,20060823_02,jpg,Log Shell Complete
,20060823_03,jpg,Log Shell Complete
,20060823_04,jpg,Log Shell Complete
,20060823_05,jpg,Log Shell Complete
 Aug. 1,20060801_89,jpg,Bird's eye view of shell progress
,20060801_89a,jpg,Bird's eye view of shell progress
,20060801_89b,jpg,Bird's eye view of shell progress
 July 13,20060713_15,jpg,Bird's eye view of shell progress
,20060713_08,jpg,Crafting posts and beams
,20060713_12,jpg,Crafting posts and beams
,20060713_14,jpg,Crafting posts and beams
,20060713_45,jpg,Placing a big beam
,20060713_46,jpg,Placing a big beam
 July 6,20060706_01,jpg,Log posts with partition slot cuts and scarfs
,20060706_02,jpg,Log beams with tenoned ends
,20060706_03,jpg,Crafting posts and beams
,20060706_04,jpg,Crafting posts and beams
,20060706_05,jpg,Crafting posts and beams
,20060706_06,jpg,Crafting posts and beams
,20060706_07,jpg,Crafting posts and beams
,20060706_08,jpg,Crafting posts and beams
,20060706_09,jpg,Crafting posts and beams
,20060706_10,jpg,Crafting posts and beams
,20060706_11,jpg,Log beam with angled pocket for tenon
#elevations,,,Elevations
,Jenks_elevations,gif,Elevations
#plans,,,Floor Plans
,Jenks_plans,gif,Floor Plans
