title,fileName,extension,text
#project,Vance,,Vance Residence
#photos,,,On-Site Framing and Finishing
 Complete,final_028,jpg,Entry elevation of completed house
,final_029r,jpg,Entry portico
,final_029cu,jpg,Entry door
,final_030,jpg,Completed fireplace
,final_031r,jpg,Loft balcony over Great Room
,final_032r,jpg,Great Room prow windows
 April 11,20060411_12,jpg,Fireplace rock work
,20060411_13,jpg,Fireplace rock work
,20060411_14,jpg,Fireplace rock work
,20060411_15,jpg,Fireplace rock work
,20060411_16,jpg,Entry portico with framing
,20060411_17r,jpg,Entry elevation with framing and building wrap complete
Nov. 15,20051115_2,jpg,Roof progress
,20051115_3,jpg,Roof progress
,20051115_4,jpg,Roof progress
,20051115_5,jpg,Roof progress
Nov. 10,20051110_35,jpg,Roof framing progress
,20051110_36,jpg,Roof framing progress
,20051110_37,jpg,Roof framing progress
,20051110_40,jpg,Roof framing progress
,20051110_42,jpg,Roof framing progress
,20051110_43,jpg,Roof framing progress
,20051110_44,jpg,Roof framing progress
,20051110_46,jpg,Roof framing progress
,20051110_47,jpg,Roof framing progress
,20051110_48,jpg,Roof framing progress
,20051110_49,jpg,Roof framing progress
,20051110_50,jpg,Roof framing progress
Oct.2,20051002_156,jpg,Roof framing progress
,20051002_160,jpg,Roof framing progress
,20051002_162,jpg,Roof framing progress
,20051002_163,jpg,Roof framing progress
#photos,,,Shipment and Re-Assembly of Log Shell
Sept. 22,20050922_01,jpg,Re-assembled Log Shell
,20050922_02,jpg,Re-assembled Log Shell
,20050922_03,jpg,Re-assembled Log Shell
,20050922_07,jpg,View from the Site
Sept.20,20050920_L_truck,jpg,Re-assembling the log shell on the final site
,20050920_L_1,jpg,Re-assembling the log shell on the final site
,20050920_L_Bill,jpg,Re-assembling the log shell on the final site
,20051110_22,jpg,Evening silhouette
,20050920_83,jpg,Loading logs for shipment to site
,20050920_84,jpg,Loading logs for shipment to site
,20050920_86,jpg,Loading logs for shipment to site
,20050920_832,jpg,Loading logs for shipment to site
,20050920_842,jpg,Loading logs for shipment to site
,20050920_862,jpg,Loading logs for shipment to site
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Sept. 10,20050920_47b,jpg,Closeup of Post and Beam joinery
,20050920_48,jpg,Closeup of Post and Beam joinery
,20050920_50b,jpg,Closeup of Post and Beam joinery
,20050920_54,jpg,Closeup of Post and Beam joinery
,20050920_55,jpg,Closeup of Post and Beam joinery
,20050920_56,jpg,Closeup of Post and Beam joinery
,20050920_58,jpg,Closeup of Post and Beam joinery
,20050920_59,jpg,Closeup of Post and Beam joinery
,20050920_61,jpg,Closeup of Post and Beam joinery
,20050920_62,jpg,Closeup of Post and Beam joinery
,20050920_63,jpg,Closeup of Post and Beam joinery
,20050920_64,jpg,Closeup of Post and Beam joinery            
Sept. 7,20050907_017,jpg,Log Shell complete
,20050907_018,jpg,Log Shell complete
,20050907_019,jpg,Log Shell complete
,20050907_020,jpg,Log Shell complete
,20050907_105,jpg,Log Shell complete
,20050907_111,jpg,Log Shell complete
,20050907_113,jpg,Log Shell complete
,20050907_115,jpg,Log Shell complete
,20050907_121,jpg,Log Shell complete
,20050907_022,jpg,Squaring off log post base
,20050907_107,jpg,Log Shell complete
Sept. 1,20050901_05,jpg,Crafting of roof logs
,20050901_06,jpg,Crafting of roof logs
,20050901_07,jpg,Crafting of roof logs
,20050901_08,jpg,Crafting of roof logs
,20050901_09,jpg,Crafting of roof logs
,20050901_10,jpg,Crafting of roof logs
,20050901_11,jpg,Crafting of roof logs
,20050901_12,jpg,Crafting of roof logs
,20050901_13,jpg,Crafting of roof logs
,20050901_14,jpg,Crafting of roof logs
,20050901_15,jpg,Crafting of roof logs
,20050901_16,jpg,Crafting of roof logs
,20050901_17,jpg,Crafting of roof logs
Aug. 31,20050831_002,jpg,Crafting of log posts and beams
,20050831_003,jpg,Crafting of log posts and beams
,20050831_004,jpg,Crafting of log posts and beams
Aug. 15,20050815_09,jpg,Crafting of log posts and beams
,20050815_10,jpg,Crafting of log posts and beams
Aug. 9,20050809_01,jpg,Crafting of log posts and beams
,20050809_03,jpg,Crafting of log posts and beams
,20050809_04,jpg,Crafting of log posts and beams
,20050809_08,jpg,Crafting of log posts and beams
#elevations,,,Elevations
,Vance_elevations,gif,
#plans,,,Floor Plans
,Vance_plans,gif,
