title,fileName,extension,text
#project,Ramsey,,Ramsey Residence
#elevations,,,Elevations
,Ramsey-elevations,gif,
#photos,,,Set-Up of the Log Shell on the Client's Site
 Day 1,20070906_64,jpg,Walls stacked up to 3rd round
,20070906_65,jpg,Walls stacked up to 3rd round
,20070906_66,jpg,Walls stacked up to 3rd round
,20070906_67,jpg,Walls stacked up to 6th round
,20070906_68,jpg,Walls stacked up to 6th round
,20070906_69,jpg,Walls stacked up to 6th round
,20070906_70,jpg,Walls stacked up to 6th round
,20070906_71,jpg,Walls stacked up to 6th round
,20070906_72,jpg,Walls stacked up to 6th round
Day 2,20070906_73,jpg,Upper log joists and beam in place
,20070906_74,jpg,Upper log joists and beam in place
,20070906_75,jpg,Placing roof logs
,20070906_76,jpg,Placing roof logs
Day 3,20070906_77,jpg,Log stairway
,20070906_78,jpg,Front wall with area slabbed flat for chimney
,20070906_79,jpg,Placing upper post
,20070906_80,jpg,Ridge beam
,20070906_81,jpg,Ridge beam
,20070906_82,jpg,Completed log shell
,20070906_84,jpg,Completed log shell
,20070906_85,jpg,Completed log shell
,20070906_88,jpg,The crew
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Aug 27,20070827_536,jpg,Log shell complete
,20070827_537,jpg,View up pitch cut
,20070827_538,jpg,View up pitch cut
,20070827_539,jpg,Log shell complete
,20070827_540,jpg,Log shell complete
,20070827_542,jpg,Log shell complete
,20070827_548,jpg,Log shell complete
,20070827_550,jpg,Log shell complete
,20070827_554,jpg,Log shell complete
,20070827_556,jpg,Log shell complete
,20070827_559,jpg,Log shell complete
,20070827_562,jpg,Log shell complete
,20070827_563,jpg,Log shell complete
,20070827_639,jpg,Log stairway
,20070827_640,jpg,Log stairway
 Aug 14,20070814_01,jpg,Upper floor log joists in place
,20070814_02,jpg,Upper floor log joists in place
,20070814_03,jpg,Upper floor log joists in place
,20070814_04,jpg,Upper floor log joists in place
 Aug 8,20070807_01,jpg,Crafting the header round
,20070807_02,jpg,Crafting the header round
,20070807_03,jpg,Crafting the header round
,20070807_04,jpg,Crafting the header round
,20070807_05,jpg,Crafting the header round
,20070808_01,jpg,Crafting the header round
,20070808_02,jpg,Crafting the header round
,20070808_03,jpg,Crafting the header round
 July 30,20070730_01,jpg,Log walls complete up to 7th round
,20070730_02,jpg,Log walls complete up to 7th round
,20070730_03,jpg,Log walls complete up to 7th round
 July 17,20070727_01,jpg,Log walls complete up to 6th round
,20070727_02,jpg,Log walls complete up to 6th round
,20070727_03,jpg,Log walls complete up to 6th round
,20070727_04,jpg,Log walls complete up to 6th round
,20070727_05,jpg,Log walls complete up to 6th round
#plans,,,Floor Plans
,Ramsey-plans,gif
