title,fileName,extension,text
#project,Thompson,,Thompson Residence
#photos,,,Framing and Finishing
15-Jul,071205_2,jpg,Kitchen Cabinets
,071205_3,jpg,Kitchen Cabinets
,071205_4,jpg,Kitchen Cabinets
,20051106_1,jpg,Firplace stone completed
21-Jun,5_10-29-04_03,JPG,Roof framing in place.
,5_10-29-04_04,JPG,Roof framing in place.
,5_11-16-04_05,JPG,Roof sheathing in place.
,5_12-10-04_06,JPG,Pine ceiling liner installed in vaulted ceiling.
,5_outside13,JPG,Wall sheathing installed.
,5_outside17,JPG,Upper floor loft framed in.
,5_outside9,JPG,House from below.
,5_P1010019,JPG,Pine ceiling liner under upper floor.
,5_P1010022,JPG,The house from above.
,5_P1010022a,JPG,Doors and windows installed with trim.
#photos,,,Delivery and Set-Up of the Log Shell on the Site
Day 1,4_001,JPG,Main floor ready for log wall stacking.
,4_009,JPG,Stacking the log walls.
,4_018,JPG,Stacking the log walls.
,4_059,JPG,Stacking the log walls.
,4_071,JPG,Stacking the log walls.
,4_095,JPG,Stacking the log walls .
Day 2,4_109,JPG,Placing the upper floor log posts.
,4_170,JPG,Placing the upper floor log posts.
,4_173,JPG,Placing the roof beams.
,4_307,JPG,Placing the roof beams .
,4_311,JPG,Placing the roof beams.
,4_313,JPG,The completed log shell from below.
,4_321,JPG,The completed log shell from above.
,4_325,JPG,The completed log shell.
,4_332,JPG,View of the lake from the living room.
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Tails,092204_0,jpg,~ Wall tails cut and upper floor logs begun
,092204_1,jpg,~ Wall tails cut and upper floor logs begun
,092204_2,jpg,~ Wall tails cut and upper floor logs begun
,092204_3,jpg,~ Wall tails cut and upper floor logs begun
,092204_4,jpg,~ Wall tails cut and upper floor logs begun
Top Round,071904_001,jpg,~ Top round of wall logs completed.
,071904_003,jpg,~ Top round of wall logs completed.
,071904_004,jpg,~ Top round of wall logs completed.
,072004_001,jpg,~ Top round of wall logs completed.
,071904_007,jpg,~ Top round of wall logs completed.
,071904_008,jpg,~ Top round of wall logs completed.
Tenth Round,102,jpg,~ Tenth round of wall logs completed.
,103,jpg,~ Tenth round of wall logs completed.
,104,jpg,~ Tenth round of wall logs completed.
,105,jpg,~ Tenth round of wall logs completed.
,108,jpg,~ Tenth round of wall logs completed.
,109,jpg,~ Tenth round of wall logs completed.
,110,jpg,~ Tenth round of wall logs completed.
Sixth Round,1,jpg,~ Sixth round of wall logs completed.
,2,jpg,~ Sixth round of wall logs completed.
,3,jpg,~ Sixth round of wall logs completed.
,4,jpg,~ Sixth round of wall logs completed.
,5,jpg,~ Sixth round of wall logs completed.
,6,jpg,~ Sixth round of wall logs completed.
Starting Walls,Thompson01,jpg,~ Second round of wall logs completed.
,Thompson02,jpg,~ Second round of wall logs completed.
#elevations,,,Elevations
,Thompson-elevations,gif,
#plans,,,Floor Plans
,Thompson-plans,gif,
